Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
ж;50;Белгородская область;1;1;361536;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;24;Республика Коми;1;1;989301;Информационные технологии, системная интеграция, интернет
ж;37;Республика Татарстан(Татарстан);0;1;20196;Химическое производство, удобрения
м;77;Республика Башкортостан;0;0;0;NULL
м;45;Новгородская область;2;1;569778;Образовательные учреждения
ж;54;Псковская область;2;0;0;NULL
ж;80;Сахалинская область;0;1;226248;Лесная промышленность, деревообработка
ж;66;Республика Башкортостан;0;0;0;NULL
м;81;Ростовская область;0;1;945792;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;78;Республика Тыва;1;1;167020;Общественная деятельность, партии, благотворительность, НКО
м;25;Липецкая область;1;1;132509;Тяжелое машиностроение
ж;34;Чеченская Республика;1;1;440220;Добывающая отрасль
м;63;Республика Саха(Якутия);1;1;367500;Информационные технологии, системная интеграция, интернет
м;28;Республика Крым;2;0;0;NULL
ж;70;Республика Ингушетия;2;0;0;NULL
ж;42;Республика Хакасия;1;0;0;NULL
ж;46;Республика Хакасия;0;0;0;NULL
ж;53;Новгородская область;0;0;0;NULL
ж;42;Ростовская область;1;1;554277;Гостинницы, рестораны, общепит, кейтеринг
м;78;Кемеровская область;0;0;0;NULL
м;48;Тверская область;2;0;0;NULL
ж;49;Волгоградская область;2;0;0;NULL
ж;74;Чукотский автономный округ;2;0;0;NULL
ж;38;Свердловская область;2;1;719415;Химическое производство, удобрения
м;73;Пензенская область;0;0;0;NULL
ж;77;Республика Ингушетия;2;1;2365134;Перевозки, логистика, склад, ВЭД
